,PRICE_NEW,BRANDNAME,KM_INT,FUEL,BODY,GEARBOX,DRIVE,COLOR,AGE,ENGINERANGE
68,5500000,Volkswagen,57000.0,Petrol,SUV,Automatic,4WD,Red,8,1501-2000(cc)
69,4000000,Volkswagen,40000.0,Petrol,Sedan,Automatic,2WD,Silver,8,1001-1500(cc)
70,5600000,Volkswagen,66000.0,Petrol,SUV,Automatic,4WD,Silver,8,1501-2000(cc)
72,2475000,Volkswagen,49000.0,Petrol,Hatchback,Manual,2WD,Gray,6,1501-2000(cc)
73,2050000,Volkswagen,52000.0,Petrol,Hatchback,Manual,2WD,Silver,7,1501-2000(cc)
74,2075000,Volkswagen,50000.0,Petrol,Hatchback,Manual,2WD,Silver,7,1501-2000(cc)
76,5000000,Volkswagen,33983.0,Petrol,SUV,Automatic,2WD,White,7,1001-1500(cc)
77,2050000,Volkswagen,52250.0,Petrol,Hatchback,Manual,2WD,White,7,1501-2000(cc)
78,7500000,Volkswagen,65605.0,Petrol,SUV,Automatic,2WD,Black,6,1501-2000(cc)
79,1875000,Volkswagen,43000.0,Petrol,SUV,Automatic,4WD,Other Colors,6,1001-1500(cc)
80,2350000,Volkswagen,58000.0,Petrol,Hatchback,Manual,2WD,Red,6,1501-2000(cc)
81,2300000,Volkswagen,50000.0,Diesel,Sedan,Manual,2WD,White,6,1001-1500(cc)
83,2150000,Volkswagen,61000.0,Petrol,Hatchback,Manual,2WD,Gray,5,0-1000(cc)
84,1975000,Volkswagen,60000.0,Petrol,SUV,Manual,2WD,Brown,4,0-1000(cc)
85,2100000,Volkswagen,30000.0,Petrol,Hatchback,Automatic,2WD,Gray,4,0-1000(cc)
86,2600000,Volkswagen,31000.0,Petrol,Hatchback,Manual,2WD,Gray,4,1501-2000(cc)
87,3300000,Volkswagen,5000.0,Petrol,Hatchback,Automatic,2WD,Gray,3,1501-2000(cc)
88,2900000,Volkswagen,30000.0,Petrol,Hatchback,Manual,2WD,Silver,4,1501-2000(cc)
89,2950000,Volkswagen,40000.0,Petrol,Sedan,Manual,2WD,White,4,1501-2000(cc)
90,1850000,Volkswagen,80000.0,Petrol,SUV,Automatic,4WD,Other Colors,3,1001-1500(cc)
92,2450000,Volkswagen,19245.0,Petrol,Hatchback,Manual,2WD,Other Colors,2,0-1000(cc)
93,3300000,Volkswagen,30000.0,Petrol,Hatchback,Manual,2WD,Blue,2,0-1000(cc)
94,2200000,Volkswagen,23000.0,Petrol,SUV,Automatic,2WD,Gray,2,1001-1500(cc)
95,2450000,Volkswagen,19000.0,Petrol,Hatchback,Manual,2WD,Gray,2,0-1000(cc)
96,2400000,Volkswagen,19000.0,Petrol,Hatchback,Manual,2WD,Gray,2,0-1000(cc)
97,3600000,Volkswagen,6200.0,Petrol,Hatchback,Manual,2WD,Gray,2,0-1000(cc)
98,2500000,Volkswagen,38500.0,Petrol,Sedan,Automatic,2WD,Other Colors,2,1001-1500(cc)
101,5240000,Volkswagen,5000.0,Petrol,Sedan,Automatic,2WD,Silver,1,0-1000(cc)
102,4400000,Volkswagen,10500.0,Petrol,SUV,Manual,2WD,Other Colors,2,0-1000(cc)
104,1245000,Toyota,90567.0,Petrol,Sedan,Manual,2WD,Red,49,1001-1500(cc)
105,400000,Toyota,89000.0,Petrol,Sedan,Manual,2WD,White,41,1001-1500(cc)
109,1775000,Toyota,215000.0,Diesel,SUV,Manual,4WD,Gray,33,2901-above(cc)
110,600000,Toyota,100000.0,Petrol,Sedan,Manual,2WD,Other Colors,32,1001-1500(cc)
112,1750000,Toyota,100000.0,Diesel,SUV,Manual,4WD,White,32,2901-above(cc)
113,1750000,Toyota,100000.0,Diesel,SUV,Manual,4WD,White,31,2901-above(cc)
114,1200000,Toyota,200000.0,Diesel,Pickup,Manual,4WD,Gray,31,2901-above(cc)
115,475000,Toyota,70000.0,Petrol,Sedan,Manual,2WD,White,30,1001-1500(cc)
116,999999,Toyota,100000.0,Petrol,Hatchback,Manual,2WD,White,30,1001-1500(cc)
117,3000000,Toyota,215000.0,Diesel,SUV,Manual,4WD,Red,29,2901-above(cc)
118,790000,Toyota,160000.0,Diesel,Sedan,Manual,4WD,Brown,28,1501-2000(cc)
119,850000,Toyota,55000.0,Petrol,Sedan,Manual,2WD,Gray,27,1501-2000(cc)
120,850000,Toyota,56000.0,Petrol,Sedan,Manual,2WD,Gray,27,1501-2000(cc)
121,2600000,Toyota,200000.0,Diesel,SUV,Manual,4WD,White,27,2501-2900(cc)
122,3300000,Toyota,70000.0,Petrol,SUV,Manual,4WD,White,27,2901-above(cc)
123,3200000,Toyota,200000.0,Diesel,SUV,Manual,4WD,Maroon,26,2501-2900(cc)
124,3500000,Toyota,100000.0,Diesel,SUV,Manual,4WD,Silver,26,2501-2900(cc)
126,2500000,Toyota,128400.0,Diesel,Pickup,Manual,4WD,Other Colors,25,2501-2900(cc)
127,475000,Toyota,80000.0,Petrol,Sedan,Manual,2WD,Blue,24,1001-1500(cc)
128,700000,Toyota,60000.0,Petrol,Sedan,Manual,2WD,Blue,23,1001-1500(cc)
130,575000,Toyota,90000.0,Petrol,Sedan,Manual,2WD,Silver,23,1001-1500(cc)
131,1700000,Toyota,80000.0,Petrol,SUV,Manual,2WD,Black,22,2901-above(cc)
132,1800000,Toyota,10000.0,Petrol,SUV,Automatic,4WD,Black,21,2001-2500(cc)
133,775000,Toyota,105000.0,Petrol,Sedan,Manual,2WD,Gray,22,1001-1500(cc)
136,1100000,Toyota,79000.0,Petrol,Sedan,Manual,2WD,Gray,21,1001-1500(cc)
137,1700000,Toyota,80000.0,Petrol,SUV,Manual,2WD,Other Colors,21,2001-2500(cc)
138,4800000,Toyota,168000.0,Diesel,SUV,Manual,4WD,White,21,2901-above(cc)
140,8600000,Toyota,79000.0,Diesel,SUV,Manual,4WD,White,21,2901-above(cc)
141,2650000,Toyota,100000.0,Diesel,Pickup,Manual,4WD,White,21,2901-above(cc)
142,1300000,Toyota,78000.0,Petrol,Sedan,Manual,2WD,Silver,20,1001-1500(cc)
145,2500000,Toyota,100000.0,Diesel,SUV,Manual,4WD,Black,18,1501-2000(cc)
146,1975000,Toyota,86000.0,Petrol,SUV,Automatic,4WD,Silver,18,1501-2000(cc)
147,1459999,Toyota,77000.0,Petrol,Sedan,Manual,2WD,Blue,17,1001-1500(cc)
149,1475000,Toyota,68000.0,Petrol,Sedan,Manual,2WD,Gray,17,1001-1500(cc)
151,5800000,Toyota,111111.0,Diesel,SUV,Manual,4WD,White,17,2901-above(cc)
153,2625000,Toyota,95000.0,Petrol,SUV,Manual,2WD,Blue,16,2001-2500(cc)
154,1300000,Toyota,124000.0,Petrol,Sedan,Manual,2WD,Blue,16,1001-1500(cc)
155,1500000,Toyota,49000.0,Petrol,Sedan,Manual,2WD,Brown,15,1001-1500(cc)
156,1250000,Toyota,68000.0,Petrol,Sedan,Manual,2WD,Gray,16,1001-1500(cc)
157,1520000,Toyota,75500.0,Petrol,Sedan,Manual,2WD,Gray,16,1001-1500(cc)
159,7500000,Toyota,175000.0,Diesel,SUV,Automatic,4WD,Maroon,16,2901-above(cc)
161,6500000,Toyota,100000.0,Diesel,SUV,Automatic,4WD,Other Colors,16,2901-above(cc)
162,6500000,Toyota,99000.0,Diesel,SUV,Automatic,4WD,Red,16,2901-above(cc)
163,6500000,Toyota,99000.0,Diesel,SUV,Automatic,4WD,Red,16,2901-above(cc)
165,2800000,Toyota,255000.0,Diesel,Van,Manual,2WD,Silver,16,2901-above(cc)
166,1195000,Toyota,85000.0,Petrol,Sedan,Manual,2WD,Silver,16,1001-1500(cc)
167,870000,Toyota,78000.0,Petrol,Hatchback,Manual,2WD,Silver,16,1001-1500(cc)
168,2750000,Toyota,95000.0,Petrol,SUV,Manual,4WD,Silver,16,2001-2500(cc)
171,2695000,Toyota,80000.0,Diesel,Pickup,Manual,4WD,White,16,2001-2500(cc)
172,3500000,Toyota,78000.0,Petrol,Sedan,Automatic,2WD,White,16,2001-2500(cc)
173,1750000,Toyota,120000.0,Petrol,Sedan,Manual,2WD,White,16,1501-2000(cc)
177,2675000,Toyota,66000.0,Petrol,SUV,Manual,4WD,Gray,15,2001-2500(cc)
178,1825000,Toyota,79000.0,Petrol,Sedan,Manual,2WD,Gray,15,1501-2000(cc)
179,1850000,Toyota,79000.0,Petrol,Sedan,Manual,2WD,Gray,15,1501-2000(cc)
180,1850000,Toyota,76000.0,Petrol,Sedan,Manual,2WD,Gray,15,1501-2000(cc)
181,1800000,Toyota,118000.0,Petrol,Sedan,Manual,2WD,Gray,15,1501-2000(cc)
182,6331102,Toyota,64000.0,Diesel,SUV,Automatic,4WD,Maroon,15,2001-2500(cc)
183,3366666,Toyota,33000.0,Diesel,SUV,Automatic,4WD,Maroon,14,2001-2500(cc)
184,2900000,Toyota,145000.0,Diesel,Pickup,Manual,4WD,Other Colors,15,2501-2900(cc)
188,1350000,Toyota,51000.0,Petrol,Sedan,Manual,2WD,Red,15,1001-1500(cc)
189,3025000,Toyota,76858.0,Diesel,Pickup,Manual,4WD,Red,15,2501-2900(cc)
190,1850000,Toyota,55000.0,Petrol,Sedan,Manual,2WD,Silver,15,1501-2000(cc)
191,1950000,Toyota,61000.0,Petrol,Sedan,Manual,2WD,White,15,1001-1500(cc)
193,7500000,Toyota,91000.0,Diesel,SUV,Manual,4WD,White,15,2901-above(cc)
194,3350000,Toyota,133000.0,Diesel,Pickup,Manual,4WD,Black,13,2501-2900(cc)
200,1500000,Toyota,125000.0,Diesel,Pickup,Manual,2WD,Maroon,14,2501-2900(cc)
